"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元) ▼","EPS增減(元)","單季ROE(%)","單季ROE增減","年估ROE(%)","單季ROA(%)","單季ROA增減","年估ROA(%)","財報評分"
"1",="3008","大立光","2440","24Q2","110","-2.9","53.2","-4.44","45","-26.4","48.4","-0.78","40.9","-13.1","33.7","-12.09","2.63","-1.03","10.5","2.19","-0.85","8.78","83"
"2",="6669","緯穎","1895","24Q2","775","+11.3","83.9","+8.88","46.9","-0.29","10.8","-0.24","6.06","-0.7","26.85","-0.07","9.91","-0.46","39.7","3.89","-0.81","15.6","51"
"3",="4763","材料-KY","849","24Q2","32","-11.6","19.6","-19.4","17.5","-16.6","61.3","-5.94","55.8","-2.65","20.41","-4.07","13.4","-4.99","53.7","11.7","-4.51","47","98"
"7",="3661","世芯-KY","1915","24Q2","136","+29.5","25.8","+30.7","15.9","+29","19","+0.17","11.7","+0.01","20.05","+4.22","4.71","-0.07","18.9","3.08","+0.14","12.3","53"
"4",="3533","嘉澤","1635","24Q2","73.7","+16.2","38.6","+18.4","22.4","+8.03","52.3","+0.99","30.7","-2.46","20","+1.43","6.97","+0.17","27.9","5.24","-0.06","21","85"
"5",="2454","聯發科","1300","24Q2","1,273","-4.64","621","-11.1","257","-18.5","48.8","-3.55","20.4","-3.33","16.19","-3.66","6.78","-1.67","27.1","3.91","-1.03","15.6","72"
"33",="2357","華碩","585","24Q2","1,449","+19.1","280","+43.5","118","+117","19.3","+3.29","8.64","+3.53","15.9","+8.57","4.4","+2.09","17.6","2.4","+1.13","9.61","40"
"19",="2059","川湖","1075","24Q2","25.2","+29.9","17.5","+45.2","14.6","+5.01","69.6","+7.33","57.9","-13.7","15.29","+0.74","8.13","+0.04","32.5","6.36","-0.13","25.4","89"
"10",="6409","旭隼","2150","24Q2","65.1","+41.5","20.3","+42.3","12.8","+79.9","31.2","+0.17","19.7","+4.21","14.7","+6.53","15","+7.03","60.2","7.1","+2.5","28.4","66"
"55",="2603","長榮","186","24Q2","1,063","+20","359","+89.3","295","+69.5","33.8","+12.4","28.7","+8.19","13.7","+5.56","5.95","+2.22","23.8","3.8","+1.39","15.2","79"
"21",="5274","信驊","4585","24Q2","13.6","+33.8","8.59","+34.1","5.08","+29.8","63.4","+0.12","37.4","-1.17","13.44","+3.08","13.6","+2.89","54.4","9.4","+1.19","37.6","89"
"16",="5269","祥碩","1565","24Q2","21.1","+8.12","11","-4.62","9.36","+5.64","52.2","-6.97","44.4","-1.04","13.18","+0.38","3.7","-0.87","14.8","3.26","-0.76","13","79"
"9",="2327","國巨","604","24Q2","314","+10.2","110","+14.6","54.5","+18.3","35.1","+1.34","17.5","+1.22","13.02","+2","3.86","+0.49","15.4","1.56","+0.19","6.26","62"
"44",="8299","群聯","482","24Q2","159","-3.82","55.4","-1.18","24.5","+1.3","34.9","+0.93","15.4","+0.78","11.97","-0.05","5.13","-0.29","20.5","3.2","-0.24","12.8","62"
"18",="6472","保瑞","726","24Q2","50.3","+75.9","19.5","+29.6","11.7","+63.6","38.8","-13.9","24.1","-1.88","11.61","+4.54","10.2","+3.78","40.7","3.28","+0.61","13.1","60"
"14",="1590","亞德客-KY","923","24Q2","84.3","+17","39.9","+17.5","22.6","+23.6","47.3","+0.21","26.8","+1.44","11.31","+2.16","5.27","+0.93","21.1","3.92","+0.78","15.7","79"
"11",="2207","和泰車","644","24Q2","711","-0.22","119","-16.5","58.7","-0.23","16.8","-3.28","9.53","-0.21","10.54","-0.02","6.65","-0.28","26.6","1.35","-0.07","5.38","40"
"15",="2330","台積電","1045","24Q2","6,735","+13.6","3,581","+13.9","2,478","+9.92","53.2","+0.1","36.8","-1.23","9.56","+0.86","6.62","+0.32","26.5","4.21","+0.23","16.8","89"
"362",="3211","順達","102.5","24Q2","39.5","+15.2","4.77","+25.8","13.6","+553","12.1","+1.02","34.3","+28.3","8.92","+7.55","15.4","+12.9","61.6","8.3","+7.01","33.2","66"
"20",="3406","玉晶光","471","24Q2","49.9","-4.75","18.3","-4.65","10","-8.08","36.8","+0.04","20.2","-0.61","8.87","-0.78","4.64","-0.52","18.6","2.34","-0.23","9.37","66"
"13",="3034","聯詠","511","24Q2","252","+3.29","104","+3.41","53.9","+10.1","41.1","+0.05","21.4","+1.32","8.86","+0.82","8.27","+1.25","33.1","4.85","+0.23","19.4","74"
"597",="6180","橘子","77.8","24Q2","24.3","-27.2","8.42","-41.3","15.4","+282","34.7","-8.36","63.7","+51.6","8.8","+6.49","23.2","+16.4","92.7","14.2","+10.3","56.6","72"
"49",="2379","瑞昱","483.5","24Q2","307","+19.7","156","+19.8","43.9","+40.2","50.9","+0.04","14.3","+2.09","8.55","+2.45","9.49","+2.53","38","4.04","+0.81","16.2","64"
"6",="3293","鈊象","1050","24Q2","45.8","+9.53","44","+8.66","22.8","+11.8","96.2","-0.77","49.7","+1","8.08","-6.37","22.1","+3.02","88.3","11.1","-0.43","44.5","77"
"40",="3592","瑞鼎","352","24Q2","64.5","+6.89","19.7","+9.96","5.91","+7.05","30.5","+0.85","9.17","+0.01","7.8","+0.52","5.44","+0.37","21.7","2.8","+0.03","11.2","62"
"77",="3324","雙鴻","732","24Q2","42.8","+35.9","12.2","+57.6","6.32","+59.7","28.4","+3.91","14.8","+1.98","7.24","+2.73","8.11","+2.57","32.5","4.52","+1.39","18.1","60"
"17",="6121","新普","361","24Q2","190","+8.07","26.1","+14.6","13.2","+24.4","13.7","+0.79","7.99","+0.78","7.11","+1.39","3.77","+0.59","15.1","2.01","+0.34","8.04","49"
"23",="4966","譜瑞-KY","736","24Q2","39.1","+2.52","16.6","+1.52","5.69","-0.71","42.4","-0.42","14.5","-0.47","7.11","-0.1","2.6","-0.18","10.4","2.26","-0.14","9.03","64"
"60",="2383","台光電","416","24Q2","154","+19.7","42.4","+13.3","24.4","+23.1","27.4","-1.56","15.8","+0.43","7.08","+1.32","8.91","+1.42","35.7","3.91","+0.4","15.6","57"
"32",="3131","弘塑","1850","24Q2","9.62","+7.08","4.17","+7.51","2.05","+19.5","43.4","+0.17","21.4","+2.24","7.04","+1.05","5.11","+0.56","20.5","2.35","+0.21","9.39","68"
"26",="3693","營邦","315.5","24Q2","21.2","+42.7","6.36","+35.5","2.7","+26.6","30","-1.59","12.7","-1.62","7","+1.47","8.98","+1.73","35.9","4.13","+0.89","16.5","57"
"22",="3443","創意","1195","24Q2","67.2","+18.1","20.5","+21.6","9.07","+36.9","30.5","+0.87","13.5","+1.86","6.78","+1.84","9.18","+2.57","36.7","4.31","+1.24","17.2","61"
"30",="2247","汎德永業","286.5","24Q2","157","+16.9","17.4","+19.7","5.47","+29.8","11.1","+0.25","3.48","+0.34","6.78","+1.56","4.54","+1.11","18.2","2.39","+0.51","9.56","51"
"57",="3617","碩天","295","24Q2","32.6","+27.2","16.5","+27.5","6.18","+23.7","50.5","+0.11","19.1","-0.63","6.77","+1.28","8.21","+1.24","32.8","4.58","+0.72","18.3","68"
"35",="3413","京鼎","366","24Q2","37.2","+12","9.92","+18.7","6.96","+27.6","26.7","+1.51","18.7","+2.29","6.75","+1.23","5.59","+0.96","22.4","3.36","+0.6","13.4","66"
"70",="5536","聖暉*","333","24Q2","76.6","+39.9","17.9","+57.3","8.17","+90.9","23.4","+2.59","12.6","+1.9","6.58","+3.13","7.08","+2.57","28.3","3.37","+1.25","13.5","60"
"85",="6515","穎崴","1210","24Q2","12.6","+17","5.39","+16","2.24","+12.2","43","-0.39","17.8","-0.76","6.52","+0.71","6.25","+0.41","25","3.72","-0.19","14.9","66"
"24",="2404","漢唐","334","24Q2","114","-7.2","15.3","-0.49","11.9","-6.36","13.4","+0.91","10.5","+0.09","6.36","-0.43","11.5","+0.05","46.2","2.35","-0.3","9.41","57"
"38",="3529","力旺","3150","24Q2","8.93","+11.2","8.93","+11.2","4.75","+10.3","100","0","53","+0.28","6.36","+0.59","15.4","+2.49","61.7","10.3","-0.23","41.2","89"
"42",="1476","儒鴻","563","24Q2","95.9","+25.7","30.2","+34.6","17.3","+21.6","31.5","+2.08","18.1","-0.6","6.32","+1.13","7.07","+1.29","28.3","5.31","+0.99","21.3","68"
"74",="3665","貿聯-KY","456","24Q2","130","+4.49","36.5","+11.5","10","+72.6","28.1","+1.77","7.7","+3.04","6.13","+2.57","3.97","+1.6","15.9","1.73","+0.69","6.92","53"
"29",="6491","晶碩","416","24Q2","16.4","-5.03","9.51","-4.46","4.75","-6.9","58.1","+0.35","29.4","-0.49","6.09","-0.45","4.83","-0.4","19.3","3.36","-0.34","13.4","74"
"43",="8464","億豐","503","24Q2","74.1","+17.4","43.2","+26.6","17.7","+23.8","58.3","+4.24","24.5","+1.61","6.04","+1.16","7.71","+1.58","30.9","5.12","+0.83","20.5","79"
"8",="6488","環球晶","445","24Q2","153","+1.58","49.5","-4.18","28.8","-18.5","32.3","-1.94","18.8","-4.64","6.02","-2.08","3.55","-1.57","14.2","1.32","-0.49","5.26","64"
"56",="3653","健策","1505","24Q2","34","+18.7","13.2","+31.2","8.52","+19.8","38.8","+3.69","25.1","+1.04","6.02","+0.96","6.95","+1.23","27.8","4.83","+0.63","19.3","72"
"27",="8478","東哥遊艇","287","24Q2","17.1","-6.1","8.35","+2.35","5.21","-2.5","48.9","+4.03","30.5","+1.13","5.93","-0.15","8.1","-0.45","32.4","3.95","-0.55","15.8","77"
"79",="6223","旺矽","785","24Q2","23.9","+16.9","13","+26.7","5.43","+37.8","54.3","+4.2","22.7","+3.48","5.76","+1.58","6.62","+1.65","26.5","4.13","+0.99","16.5","70"
"147",="1436","華友聯","137","24Q2","20.2","+9967","9.69","+8438","6.44","+1883","47.9","-8.58","31.8","+218","5.74","+6.1","17.2","+18.3","68.9","3.75","+3.99","15","64"
"25",="5904","寶雅","523","24Q2","56.3","-4.19","24.7","-5.04","5.89","-16","43.9","-0.39","10.5","-1.48","5.61","-1.17","11.2","-1.33","45","2.23","-0.49","8.91","59"
"37",="4766","南寶","305","24Q2","57.8","+15.9","18.1","+9.64","6.72","-4.8","31.4","-1.79","12","-2.66","5.58","-0.28","4.9","-0.29","19.6","2.7","-0.3","10.8","60"
"46",="6670","復盛應用","285.5","24Q2","61.4","-3.57","15.6","-6.16","7.45","-20","25.5","-0.7","12.9","-2.44","5.57","-1.44","5.91","-1.56","23.6","3.75","-1.07","15","66"
"66",="5434","崇越","296","24Q2","138","+15.6","19.3","+14.8","10.2","+31.7","14","-0.1","7.43","+0.9","5.41","+1.3","6.8","+1.58","27.2","2.97","+0.58","11.9","47"
"1845",="8420","明揚","41.9","24Q2","2.74","+289","0.17","+131","2.9","+650","6.11","+82.5","106","+180","5.24","+6.19","37.8","+46","151","17.3","+20.2","69.3","57"
"28",="6781","AES-KY","532","24Q2","21.7","-5.75","8.62","-3.18","4.46","-3.62","39.6","+1.05","20.5","+0.45","5.22","-0.19","3.29","-0.18","13.1","2.17","-0.16","8.68","62"
"62",="1795","美時","253","24Q2","47.4","+13","28.8","+25","13.3","+28.5","60.7","+5.83","28.1","+3.39","5.09","+1.13","7.47","+1.46","29.9","3.86","+0.78","15.5","72"
"78",="3017","奇鋐","629","24Q2","165","+7.68","37.9","+12.5","19.5","+24.5","23","+0.99","13.1","+1.67","5.08","+1","8.14","+1.28","32.5","2.83","+0.44","11.3","62"
"87",="2474","可成","237.5","24Q2","46.7","+27.7","15.9","+56","34.4","-24.9","34","+6.17","73.5","-51.5","5.05","-1.68","2.06","-0.76","8.23","1.32","-0.47","5.29","64"
"34",="4770","上品","336","24Q2","15.9","+7.4","6.6","-1.24","4","-18.3","41.5","-3.63","25.2","-7.92","5.01","-1.13","5.52","-1.25","22.1","4","-0.82","16","75"
"45",="1264","德麥","315.5","24Q2","15.8","+1.61","5.11","+1.25","1.83","-2.64","32.3","-0.11","13.4","-0.33","4.94","-0.14","5.75","+0.03","23","4.3","-0.14","17.2","66"
"88",="4961","天鈺","272.5","24Q2","50.2","+34.9","15.4","+38.5","5.94","+54.6","30.7","+0.79","14.6","+2.54","4.91","+1.74","3.44","+1.34","13.7","2.77","+1","11.1","62"
"76",="6605","帝寶","251.5","24Q2","51","+5.08","17.3","-0.25","8.13","-8.3","34","-1.82","16","-2.3","4.9","-0.44","4.46","-0.48","17.8","2.47","-0.28","9.88","57"
"1749",="3230","錦明","53.6","24Q2","1.18","+12.5","0.04","+204","3.47","+2001","3.64","+2.3","294","+312","4.88","+5.14","45.5","+48.6","182","25.9","+27.3","104","68"
"39",="3611","鼎翰","219.5","24Q2","20.7","+10.3","6.92","+17","2.28","+43","33.4","+1.91","11","+2.52","4.85","+1.46","4.31","+1.38","17.2","2.48","+0.71","9.94","55"
"100",="5508","永信建","219","24Q2","29.3","-4.62","14.2","-2.69","10.4","-2.61","48.5","+0.96","35.4","+0.73","4.78","-0.12","16.6","+0.02","66.3","6.29","-0.14","25.2","70"
"270",="6526","達發","638","24Q2","49","+28","25.9","+28.6","8.01","+95.4","52.8","+0.23","16.3","+5.63","4.78","+2.32","4.81","+2.3","19.3","3.61","+1.62","14.5","66"
"288",="6890","來億-KY","357","24Q2","97.7","+25.7","20.5","+38.4","10.7","+45.5","21","+1.93","11.8","+1.5","4.72","+1.36","5.34","+1.2","21.4","3.91","+0.99","15.6","62"
"1827",="8089","康全電訊","94.1","24Q2","13.8","+388","4.54","+10778","2.74","+301","32.8","+34.3","19.8","+67.9","4.67","+6.99","30.1","+46.8","120","9.18","+15.7","36.7","60"
"231",="2376","技嘉","266","24Q2","739","+34","79.8","+28","29.6","+46.3","10.8","-0.5","4.43","+0.68","4.66","+1.48","8.23","+2.92","32.9","3.02","+0.87","12.1","47"
"61",="2345","智邦","537","24Q2","244","+29.5","51.8","+31.8","25.8","+15","21.2","+0.37","10.6","-1.33","4.62","+0.6","9.03","+0.94","36.1","3.89","+0.2","15.6","57"
"95",="6139","亞翔","221","24Q2","188","-1.93","20.4","+9.81","10.7","+15.2","10.8","+1.16","7.21","+1.08","4.61","+0.51","7.67","+0.66","30.7","2.46","+0.31","9.85","55"
"59",="6803","崑鼎","285.5","24Q2","21","+7.79","4.57","+3.61","3.31","+11.2","21.8","-0.88","18","-0.72","4.6","+0.45","5.98","+0.39","23.9","2.77","+0.05","11.1","60"
"369",="2031","新光鋼","57.5","24Q2","36.7","+5.88","2.89","-19.6","14.5","+96.3","7.87","-2.5","40.1","+18.1","4.53","+2.22","11.1","+4.91","44.3","4.87","+2.23","19.5","51"
"83",="3130","一零四","226","24Q2","6.52","+15.8","5.74","+18.2","1.49","+65.4","88.1","+1.75","22.9","+6.85","4.49","+1.77","9.33","+4.04","37.3","4.07","+1.51","16.3","75"
"63",="5288","豐祥-KY","215","24Q2","19","+7.05","4.24","+10.3","2.98","+14.5","22.3","+0.66","15.6","+1.02","4.46","+0.55","5.74","+0.56","23","4.09","+0.35","16.4","68"
"65",="8016","矽創","230","24Q2","43.8","+5.49","15.4","+4.26","5.31","+22.5","35.1","-0.42","15.4","+0.28","4.43","+0.81","4.86","+0.4","19.5","3.29","+0.17","13.2","66"
"450",="2520","冠德","47.65","24Q2","103","+115","36.6","+140","23.8","+216","35.4","+3.67","24.2","+6.37","4.4","+3.01","10.4","+6.66","41.5","4.36","+2.87","17.5","68"
"31",="6763","綠界科技*","42.15","24Q2","3.77","-2.4","1.58","-2.45","0.8","-8.14","41.9","-0.02","20.4","-1.82","4.33","-0.39","2.8","-0.32","11.2","1.18","-0.13","4.73","57"
"36",="6691","洋基工程","305.5","24Q2","34.3","+24.6","6.95","+23.1","4.54","+25.7","20.3","-0.24","13.2","+0.12","4.33","+0.2","9.39","+2.31","37.6","3.52","+0.51","14.1","61"
"64",="4536","拓凱","212.5","24Q2","23.2","+22.2","8.23","+27.2","3.92","+0.39","35.5","+1.41","17.9","-3.66","4.33","+0.03","4.68","-0.01","18.7","2.93","-0.02","11.7","64"
"109",="3526","凡甲","272.5","24Q2","7.69","+30.7","4.04","+29.1","2.58","+42.3","52.5","-0.64","33.5","+2.75","4.33","+1.27","8.95","+2.51","35.8","4.47","+0.84","17.9","81"
"50",="8081","致新","228","24Q2","20.6","+6.2","8.27","+4.51","3.67","-2.95","40.2","-0.65","18.4","-1.76","4.28","-0.13","4.94","+0.01","19.8","3.39","-0.27","13.6","64"
"54",="2727","王品","230.5","24Q2","53.6","-5.17","25.6","-4.47","3.5","+12.7","47.7","+0.35","6.65","+1.39","4.24","+0.47","8.77","+1.91","35.1","2.27","+0.38","9.06","64"
"1729",="2615","萬海","83","24Q2","382","+38.2","124","+260","116","+150","32.5","+20","30.3","+13.6","4.12","+2.47","5.18","+3","20.7","3.21","+1.85","12.8","81"
"98",="6664","群翊","287.5","24Q2","6.29","+6.11","3.14","+0.82","2.39","-11.6","50","-2.62","37.9","-7.59","4.09","-0.56","8.03","-1.32","32.1","3.21","-0.5","12.8","77"
"968",="2609","陽明","62.8","24Q2","526","+20.1","166","+64.5","139","+48.1","31.6","+8.53","26.6","+4.97","3.98","+1.29","4.73","+1.41","18.9","3.43","+1.06","13.7","79"
"89",="6683","雍智科技","350","24Q2","3.92","+2.92","1.84","-3.1","1.06","-11.2","46.9","-2.92","27.1","-4.32","3.92","-0.5","4.6","-0.65","18.4","3.85","-0.69","15.4","80"
"130",="2382","廣達","282","24Q2","3,100","+19.7","266","+21.2","151","+25.4","8.58","+0.11","4.93","+0.21","3.92","+0.79","8.27","+1.66","33.1","2.05","+0.34","8.21","43"
"82",="3023","信邦","291","24Q2","83.1","+3.35","21.3","+2.64","9.35","+2.62","25.6","-0.18","11.3","-0.06","3.9","+0.1","6.5","+0.22","26","3.25","+0.18","13","53"
"211",="6788","華景電","271.5","24Q2","5.36","+45.5","3.22","+56.5","1.35","+79.8","60.2","+4.25","25","+5.06","3.89","+1.72","8.64","+3.89","34.6","5.09","+2.13","20.3","80"
"106",="1580","新麥","147.5","24Q2","12.3","+30.6","5.51","+33.1","1.95","+42.2","44.8","+0.83","16.9","+1.32","3.88","+1.15","7.43","+2.26","29.7","4.94","+1.32","19.8","70"
"113",="6176","瑞儀","195","24Q2","119","+10.4","24.7","+16.9","18","-7.4","20.7","+1.15","15.1","-2.89","3.87","-0.31","5.07","-0.39","20.3","3","-0.21","12","62"
"434",="2739","寒舍","55.2","24Q2","11.5","-15.2","4.34","-20.4","3.52","+111","37.7","-2.46","30.6","+18.3","3.85","+2.03","22","+8.97","88","2.62","+1.39","10.5","70"
"94",="2308","台達電","380","24Q2","1,034","+13.3","353","+31","99.5","+72.6","34.1","+4.61","11.6","+3.92","3.83","+1.61","4.69","+1.9","18.8","2.48","+0.98","9.9","60"
"51",="1808","潤隆","48.65","24Q2","52.6","+290","25.1","+300","17.2","+411","47.6","+1.13","32.8","+7.71","3.82","+3.07","12.8","+10.2","51.3","3.7","+2.95","14.8","68"
"111",="3044","健鼎","192","24Q2","158","+3.36","36.4","+8.46","19.9","+8.12","23.1","+1.08","12.6","+0.55","3.78","+0.28","4.32","+0.24","17.3","2.41","+0.08","9.64","55"
"72",="2752","豆府","252","24Q2","8.57","-0.31","4.48","-2.15","0.99","-3.37","52.3","-0.98","11.7","-0.35","3.77","-0.13","9.97","+0.37","39.9","4.71","-0.03","18.8","72"
"159",="8210","勤誠","261.5","24Q2","36.1","+30.1","9.13","+32.6","4.53","+24.2","25.3","+0.47","12.7","-0.88","3.77","+0.74","7.41","+1.03","29.7","3.18","+0.46","12.7","55"
"139",="6805","富世達","846","24Q2","17.2","+0.47","3.98","-3.79","2.56","+14.5","23.1","-1.03","14.9","+1.82","3.74","+0.47","5.53","+0.6","22.1","2.65","+0.24","10.6","59"
"142",="8442","威宏-KY","109.5","24Q2","22.4","+23.6","5.21","+43.1","2.48","+40.3","23.3","+3.17","11.1","+1.32","3.71","+1.04","7.59","+1.98","30.4","3.85","+1.02","15.4","59"
